School,Top 25 Footbball,Top 25 Basketball, Revenue ,Conference,Sacount,MaleSACount,FemaleSAcount,SABMgradRate,SAHMgradRate,SAWMgradRate,SABWgradRate,SAHWgradRate,SAWWgradWate,SBCount,MaleCount,FemaleCount,SBBMgradRate,SBHMgradRate,SBWMgradRate,SBBWgradRate,SBHWgradRate,SBWWgradWate
ID1,Yes,N,223879781,Power 5,396,219,177,53,80,62,76,57,81,28183,12909,15274,62,67,81,72,76,87
ID2,Yes,N,212748002,Power 5,396,201,195,48,56,68,77,85,83,34383,17443,16940,65,71,80,74,79,88
ID3,Yes,Y,210548239,Power 5,601,332,269,45,67,70,83,100,85,26592,13456,13136,66,79,81,78,82,87
ID4,Yes,Y,197820410,Power 5,421,240,181,67,86,81,80,91,89,24401,12202,12199,75,86,90,84,90,93
ID5,Yes,N,174042482,Power 5,428,202,226,40,67,65,84,100,77,19590,7510,12080,74,81,85,87,85,86
ID6,Yes,N,164529326,Power 5,430,241,189,56,78,78,78,91,89,28470,14708,13762,62,74,85,74,81,91
ID7,Yes,N,164090889,Power 5,322,151,171,53,,74,65,75,78,21179,9512,11667,45,51,66,63,65,72
ID8,Yes,N,163126695,Power 5,330,188,142,55,60,51,56,86,78,15111,7054,8057,47,57,65,62,65,72
ID9,Yes,N,159706937,Power 5,419,200,219,38,54,53,72,92,75,25361,10405,14956,72,84,86,84,88,91
ID10,Yes,N,157787782,Power 5,336,184,152,34,100,57,64,60,73,20667,9621,11046,50,53,64,59,62,69
ID11,Yes,Y,157660107,Power 5,394,217,177,67,100,68,79,33,78,23110,10863,12247,71,75,85,77,82,89
ID12,No,Y,152757883,Power 5,289,176,113,46,38,53,82,60,71,23029,9484,13545,68,75,77,82,82,83
ID13,Yes,N,152455416,Power 5,378,196,182,57,50,67,69,89,77,16260,7835,8425,55,65,71,66,74,80
ID14,Yes,N,151976026,Power 5,431,225,206,42,100,81,44,100,83,17076,7924,9152,55,63,71,56,69,74
ID15,No,Y,150435842,Power 5,385,224,161,40,100,61,67,67,74,16356,7878,8478,38,52,61,51,65,68
ID16,No,N,143765903,Power 5,316,167,149,55,0,59,63,67,75,16272,8152,8120,53,59,67,65,74,75
ID17,No,N,140695659,Power 5,378,191,187,59,50,59,73,67,75,16688,7498,9190,65,65,70,77,78,76
ID18,No,Y,140010865,Power 5,445,236,209,61,67,77,56,100,85,29290,13552,15738,57,64,80,62,68,84
ID19,No,Y,139955824,Power 5,423,199,224,69,25,64,48,100,77,9981,4815,5166,45,40,51,49,58,57
